ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.449967,0.455336,0.011931,0.008,0.008,268,0,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.512112,0.490481,0.042238,0.008,0.008,268,0.0001,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.473072,0.477779,0.00995,0.008,0.008,268,0.0002,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.417255,0.442773,0.061157,0.008,0.008,268,0.0003,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.427405,0.432299,0.01145,0.008,0.008,268,0.0004,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.49222,0.487573,0.009441,0.008,0.008,268,0.0005,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.475487,0.475217,0.000569,0.008,0.008,268,0.0006,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.430033,0.444109,0.032733,0.008,0.008,268,0.0007,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.43638,0.445421,0.020719,0.008,0.008,268,0.0008,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.480284,0.470863,0.019616,0.008,0.008,268,0.0009,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.468229,0.466238,0.004251,0.008,0.008,268,0.001,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.474354,0.459916,0.030438,0.008,0.008,268,0.002,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.456718,0.457862,0.002505,0.008,0.008,268,0.003,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.402624,0.414465,0.029411,0.008,0.008,268,0.004,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.448445,0.455463,0.015651,0.008,0.008,268,0.005,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.41367,0.415969,0.005556,0.008,0.008,268,0.006,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.429743,0.42329,0.015015,0.008,0.008,268,0.007,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.418066,0.429597,0.027582,0.008,0.008,268,0.008,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.433588,0.434874,0.002967,0.008,0.008,268,0.009,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras','P-CS-DTJWZC3',4.0234795,0.414129,0.402939,0.02702,0.008,0.008,268,0.01,0.4,30,relu,relu,31,he_normal,0.001,binary_crossentropy,3,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
