ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.687556,0.701386,0.020115,0.02,0.02,134,0.001,0.5,5,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.704822,0.721875,0.024194,0.02,0.02,134,0.001,0.5,10,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.725832,0.737508,0.016086,0.02,0.02,134,0.001,0.5,15,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.728637,0.740533,0.016326,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.71513,0.739201,0.03366,0.02,0.02,134,0.001,0.5,25,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.727808,0.748288,0.028139,0.02,0.02,134,0.001,0.5,30,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.735639,0.75177,0.021929,0.02,0.02,134,0.001,0.5,35,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.730441,0.751839,0.029296,0.02,0.02,134,0.001,0.5,40,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.72967,0.748052,0.025191,0.02,0.02,134,0.001,0.5,45,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.727535,0.755464,0.03839,0.02,0.02,134,0.001,0.5,50,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.734626,0.758599,0.032633,0.02,0.02,134,0.001,0.5,55,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.734887,0.759347,0.033284,0.02,0.02,134,0.001,0.5,60,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.735334,0.761603,0.035725,0.02,0.02,134,0.001,0.5,65,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.737533,0.761704,0.032773,0.02,0.02,134,0.001,0.5,70,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.735166,0.760194,0.034044,0.02,0.02,134,0.001,0.5,75,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.73274,0.760183,0.037453,0.02,0.02,134,0.001,0.5,80,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.732287,0.756992,0.033737,0.02,0.02,134,0.001,0.5,85,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.731344,0.762982,0.04326,0.02,0.02,134,0.001,0.5,90,relu,relu,20,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
