ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.727938,0.728192,0.000349,0.02,0.02,1,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.741262,0.748771,0.010129,0.02,0.02,6,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.738965,0.749991,0.014921,0.02,0.02,11,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.744664,0.751339,0.008964,0.02,0.02,16,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.744143,0.747908,0.00506,0.02,0.02,21,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.740301,0.744119,0.005159,0.02,0.02,26,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.738552,0.745538,0.009459,0.02,0.02,31,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.732643,0.745947,0.018158,0.02,0.02,36,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.737538,0.741928,0.005952,0.02,0.02,41,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.731985,0.740551,0.011703,0.02,0.02,46,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.729566,0.737011,0.010205,0.02,0.02,51,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.721177,0.734024,0.017814,0.02,0.02,56,0.001,0.5,20,relu,relu,4,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
