ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.484807,0.486875,0.004266,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 100, 1)",sigmoid,SGD,100.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.431846,0.439863,0.018563,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 200, 1)",sigmoid,SGD,100.0,100.0,100.0,200.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.424714,0.438813,0.033197,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 200, 100, 1)",sigmoid,SGD,100.0,100.0,200.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.454165,0.445312,0.019493,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 200, 100, 100, 1)",sigmoid,SGD,100.0,200.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.477452,0.465677,0.024664,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(200, 100, 100, 100, 1)",sigmoid,SGD,200.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.447246,0.445633,0.003606,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 300, 1)",sigmoid,SGD,100.0,100.0,100.0,300.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.443557,0.451785,0.0185509999999999,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 300, 100, 1)",sigmoid,SGD,100.0,100.0,300.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.452284,0.4422819999999999,0.022115,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 100, 100, 1)",sigmoid,SGD,100.0,300.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.492554,0.474796,0.0360529999999999,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(300, 100, 100, 100, 1)",sigmoid,SGD,300.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',14.023345354000002,0.408647,0.423857,0.037221,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 400, 1)",sigmoid,SGD,100.0,100.0,100.0,400.0,4.0
