ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','abj40-dt',12.772630991,0.713765,0.732255,0.025905,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 100, 1)",sigmoid,Adagrad,100.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.717069,0.7347859999999999,0.024707,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 200, 1)",sigmoid,Adagrad,100.0,100.0,100.0,200.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7183510000000001,0.736912,0.0258389999999999,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 200, 100, 1)",sigmoid,Adagrad,100.0,100.0,200.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.71403,0.732853,0.026361,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 200, 100, 100, 1)",sigmoid,Adagrad,100.0,200.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.718467,0.738121,0.027355,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(200, 100, 100, 100, 1)",sigmoid,Adagrad,200.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.71807,0.73378,0.021879,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 300, 1)",sigmoid,Adagrad,100.0,100.0,100.0,300.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7154189999999999,0.735136,0.027561,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 300, 100, 1)",sigmoid,Adagrad,100.0,100.0,300.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.715572,0.7342029999999999,0.026037,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 300, 100, 100, 1)",sigmoid,Adagrad,100.0,300.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.719363,0.741971,0.031427,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(300, 100, 100, 100, 1)",sigmoid,Adagrad,300.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7117439999999999,0.734167,0.031504,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 400, 1)",sigmoid,Adagrad,100.0,100.0,100.0,400.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.717745,0.736,0.025433,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 400, 100, 1)",sigmoid,Adagrad,100.0,100.0,400.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7196819999999999,0.73554,0.022036,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 400, 100, 100, 1)",sigmoid,Adagrad,100.0,400.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.720676,0.743035,0.031025,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(400, 100, 100, 100, 1)",sigmoid,Adagrad,400.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.72007,0.734798,0.020453,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 500, 1)",sigmoid,Adagrad,100.0,100.0,100.0,500.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.718316,0.739406,0.02936,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 500, 100, 1)",sigmoid,Adagrad,100.0,100.0,500.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.721366,0.739649,0.025345,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 500, 100, 100, 1)",sigmoid,Adagrad,100.0,500.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7237520000000001,0.742721,0.0262089999999999,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(500, 100, 100, 100, 1)",sigmoid,Adagrad,500.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.717176,0.736025,0.026282,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 600, 1)",sigmoid,Adagrad,100.0,100.0,100.0,600.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.715406,0.736997,0.03018,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 600, 100, 1)",sigmoid,Adagrad,100.0,100.0,600.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.712954,0.738464,0.03578,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 600, 100, 100, 1)",sigmoid,Adagrad,100.0,600.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.721745,0.744203,0.031117,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(600, 100, 100, 100, 1)",sigmoid,Adagrad,600.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7204729999999999,0.735092,0.020291,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 700, 1)",sigmoid,Adagrad,100.0,100.0,100.0,700.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.716446,0.735418,0.026481,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 700, 100, 1)",sigmoid,Adagrad,100.0,100.0,700.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.714858,0.7356779999999999,0.029125,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 700, 100, 100, 1)",sigmoid,Adagrad,100.0,700.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.726902,0.745467,0.025539,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(700, 100, 100, 100, 1)",sigmoid,Adagrad,700.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.714932,0.734503,0.027375,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 800, 1)",sigmoid,Adagrad,100.0,100.0,100.0,800.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.71692,0.735762,0.026282,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 800, 100, 1)",sigmoid,Adagrad,100.0,100.0,800.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.717114,0.738298,0.029541,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 800, 100, 100, 1)",sigmoid,Adagrad,100.0,800.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7249760000000001,0.746628,0.029866,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(800, 100, 100, 100, 1)",sigmoid,Adagrad,800.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7179979999999999,0.736517,0.025792,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 900, 1)",sigmoid,Adagrad,100.0,100.0,100.0,900.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.718387,0.734476,0.022396,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 900, 100, 1)",sigmoid,Adagrad,100.0,100.0,900.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.716584,0.7391310000000001,0.031465,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 900, 100, 100, 1)",sigmoid,Adagrad,100.0,900.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.722888,0.746787,0.03306,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(900, 100, 100, 100, 1)",sigmoid,Adagrad,900.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.717908,0.736505,0.025904,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 100, 1000, 1)",sigmoid,Adagrad,100.0,100.0,100.0,1000.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.716669,0.73626,0.027336,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 1000, 100, 1)",sigmoid,Adagrad,100.0,100.0,1000.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7118680000000001,0.741762,0.041994,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 1000, 100, 100, 1)",sigmoid,Adagrad,100.0,1000.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.727402,0.746873,0.026767,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(1000, 100, 100, 100, 1)",sigmoid,Adagrad,1000.0,100.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.713516,0.734654,0.029625,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 200, 200, 1)",sigmoid,Adagrad,100.0,100.0,200.0,200.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.716873,0.735933,0.026588,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 200, 100, 200, 1)",sigmoid,Adagrad,100.0,200.0,100.0,200.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.717585,0.733438,0.0220919999999999,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 200, 200, 100, 1)",sigmoid,Adagrad,100.0,200.0,200.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7212689999999999,0.737448,0.022431,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(200, 100, 100, 200, 1)",sigmoid,Adagrad,200.0,100.0,100.0,200.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.717059,0.7385470000000001,0.029967,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(200, 100, 200, 100, 1)",sigmoid,Adagrad,200.0,100.0,200.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7179810000000001,0.7368859999999999,0.02633,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(200, 200, 100, 100, 1)",sigmoid,Adagrad,200.0,200.0,100.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.719588,0.738513,0.0263,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 200, 300, 1)",sigmoid,Adagrad,100.0,100.0,200.0,300.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.720199,0.738287,0.025115,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 100, 300, 200, 1)",sigmoid,Adagrad,100.0,100.0,300.0,200.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.714097,0.735481,0.0299459999999999,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 200, 100, 300, 1)",sigmoid,Adagrad,100.0,200.0,100.0,300.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.716431,0.736102,0.027458,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 200, 300, 100, 1)",sigmoid,Adagrad,100.0,200.0,300.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.718436,0.7379100000000001,0.027106,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 300, 100, 200, 1)",sigmoid,Adagrad,100.0,300.0,100.0,200.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.716068,0.7349439999999999,0.026361,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(100, 300, 200, 100, 1)",sigmoid,Adagrad,100.0,300.0,200.0,100.0,4.0
'deep learning keras','abj40-dt',12.772630991,0.7181420000000001,0.737084,0.026376,0.02,0.02,134,0.001,0.5,20,relu,relu,18,glorot_normal,0.05,binary_crossentropy,2,0.9,"(200, 100, 100, 300, 1)",sigmoid,Adagrad,200.0,100.0,100.0,300.0,4.0
