ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','xij6-lab1-dt',36.278803442,0.588881,0.603648,0.025078,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 100, 1)",sigmoid,SGD,100.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.567871,0.568635,0.001344,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 200, 1)",sigmoid,SGD,100.0,100.0,100.0,200.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.53388,0.5615600000000001,0.051846,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 200, 100, 1)",sigmoid,SGD,100.0,100.0,200.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.560893,0.5493899999999999,0.020509,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 200, 100, 100, 1)",sigmoid,SGD,100.0,200.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.564029,0.5638,0.000407,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(200, 100, 100, 100, 1)",sigmoid,SGD,200.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.58808,0.579363,0.014822,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 300, 1)",sigmoid,SGD,100.0,100.0,100.0,300.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.57343,0.563759,0.016865,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 300, 100, 1)",sigmoid,SGD,100.0,100.0,300.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.581813,0.5794,0.004148,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 100, 100, 1)",sigmoid,SGD,100.0,300.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.58944,0.570225,0.032598,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(300, 100, 100, 100, 1)",sigmoid,SGD,300.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.570095,0.574824,0.008295,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 400, 1)",sigmoid,SGD,100.0,100.0,100.0,400.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.5971890000000001,0.593672,0.005889,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 400, 100, 1)",sigmoid,SGD,100.0,100.0,400.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.549135,0.568904,0.036,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 400, 100, 100, 1)",sigmoid,SGD,100.0,400.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',36.278803442,0.6093810000000001,0.6090369999999999,0.0005639999999999,0.008,0.008,268,0.0005,0.4,30,relu,relu,18,he_normal,0.001,binary_crossentropy,2,0.4,"(400, 100, 100, 100, 1)",sigmoid,SGD,400.0,100.0,100.0,100.0,4.0
