ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.696863,0.712804,0.022876,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 100, 100, 1)",sigmoid,Adagrad,100.0,100.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.6967399999999999,0.706719,0.0143229999999999,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 100, 200, 1)",sigmoid,Adagrad,100.0,100.0,100.0,200.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.6841189999999999,0.6980569999999999,0.020373,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 200, 100, 1)",sigmoid,Adagrad,100.0,100.0,200.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.70122,0.70913,0.011279,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 200, 100, 100, 1)",sigmoid,Adagrad,100.0,200.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.708956,0.7205739999999999,0.016388,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(200, 100, 100, 100, 1)",sigmoid,Adagrad,200.0,100.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.689937,0.7032579999999999,0.019308,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 100, 300, 1)",sigmoid,Adagrad,100.0,100.0,100.0,300.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.710519,0.713797,0.004614,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 300, 100, 1)",sigmoid,Adagrad,100.0,100.0,300.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.711721,0.720483,0.012311,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 300, 100, 100, 1)",sigmoid,Adagrad,100.0,300.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.709205,0.723305,0.019882,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(300, 100, 100, 100, 1)",sigmoid,Adagrad,300.0,100.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.696018,0.701326,0.0076269999999999,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 100, 400, 1)",sigmoid,Adagrad,100.0,100.0,100.0,400.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.698619,0.704647,0.008628,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 400, 100, 1)",sigmoid,Adagrad,100.0,100.0,400.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.705859,0.7154659999999999,0.013611,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 400, 100, 100, 1)",sigmoid,Adagrad,100.0,400.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.712711,0.725042,0.017302,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(400, 100, 100, 100, 1)",sigmoid,Adagrad,400.0,100.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.698771,0.7087640000000001,0.014301,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 100, 500, 1)",sigmoid,Adagrad,100.0,100.0,100.0,500.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.699852,0.7194020000000001,0.027935,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 500, 100, 1)",sigmoid,Adagrad,100.0,100.0,500.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.7084020000000001,0.71959,0.015794,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 500, 100, 100, 1)",sigmoid,Adagrad,100.0,500.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.721014,0.730963,0.013798,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(500, 100, 100, 100, 1)",sigmoid,Adagrad,500.0,100.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.683649,0.690998,0.01075,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 100, 600, 1)",sigmoid,Adagrad,100.0,100.0,100.0,600.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.695445,0.704766,0.013403,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 600, 100, 1)",sigmoid,Adagrad,100.0,100.0,600.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.711912,0.721173,0.013009,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 600, 100, 100, 1)",sigmoid,Adagrad,100.0,600.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.721599,0.731671,0.0139569999999999,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(600, 100, 100, 100, 1)",sigmoid,Adagrad,600.0,100.0,100.0,100.0,4.0
'deep learning keras','P-CS-DTJWZC3',31.720386774,0.691754,0.698214,0.00934,0.01,0.01,402,0.0001,0.2,50,relu,relu,18,glorot_normal,0.01,binary_crossentropy,2,0.5,"(100, 100, 100, 700, 1)",sigmoid,Adagrad,100.0,100.0,100.0,700.0,4.0
