ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.649052,0.66994,0.032181,0,0,536,0,0,5,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.67625,0.684804,0.012649,0,0,536,0,0,10,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.695014,0.69832,0.004757,0,0,536,0,0,15,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.694105,0.700838,0.009699,0,0,536,0,0,20,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.708453,0.706183,0.003204,0,0,536,0,0,25,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.709145,0.706984,0.003046,0,0,536,0,0,30,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.697,0.708947,0.017141,0,0,536,0,0,35,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.706451,0.711456,0.007085,0,0,536,0,0,40,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.713978,0.71818,0.005886,0,0,536,0,0,45,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.71502,0.716042,0.00143,0,0,536,0,0,50,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.709626,0.715005,0.00758,0,0,536,0,0,55,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.709574,0.715152,0.007862,0,0,536,0,0,60,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.708663,0.717243,0.012107,0,0,536,0,0,65,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.713412,0.718967,0.007786,0,0,536,0,0,70,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.717312,0.720472,0.004405,0,0,536,0,0,75,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.717719,0.717971,0.000351,0,0,536,0,0,80,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.712783,0.721776,0.012616,0,0,536,0,0,85,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.713909,0.719436,0.007741,0,0,536,0,0,90,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.707848,0.717141,0.013129,0,0,536,0,0,95,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.716279,0.722463,0.008634,0,0,536,0,0,100,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.714743,0.722075,0.010259,0,0,536,0,0,110,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.716747,0.723866,0.009932,0,0,536,0,0,120,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.716754,0.719097,0.003269,0,0,536,0,0,130,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.71862,0.722895,0.005949,0,0,536,0,0,140,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
'deep learning keras',0.714791,0.723567,0.012278,0,0,536,0,0,150,relu,relu,4,he_normal,0.1,binary_crossentropy,2,0,"(75, 1)",sigmoid,SGD,75.0,0.0,0.0,0.0,1.0
