ml_classifier_name,host_name,running_time1(average sec),mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.584901,0.564793,0.034379,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 100, 1)",sigmoid,SGD,100.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.5960270000000001,0.580266,0.026443,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 200, 1)",sigmoid,SGD,100.0,100.0,100.0,200.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.5981350000000001,0.604444,0.0105469999999999,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 200, 100, 1)",sigmoid,SGD,100.0,100.0,200.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.60151,0.60031,0.001995,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 200, 100, 100, 1)",sigmoid,SGD,100.0,200.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.600479,0.606873,0.0106489999999999,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(200, 100, 100, 100, 1)",sigmoid,SGD,200.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.566638,0.575002,0.014761,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 300, 1)",sigmoid,SGD,100.0,100.0,100.0,300.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.600394,0.606079,0.009468,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 300, 100, 1)",sigmoid,SGD,100.0,100.0,300.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.601195,0.584975,0.026979,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 100, 100, 1)",sigmoid,SGD,100.0,300.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.583237,0.5936100000000001,0.017787,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(300, 100, 100, 100, 1)",sigmoid,SGD,300.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.573789,0.563783,0.017438,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 400, 1)",sigmoid,SGD,100.0,100.0,100.0,400.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.5939,0.6018359999999999,0.013364,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 400, 100, 1)",sigmoid,SGD,100.0,100.0,400.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.601591,0.6043569999999999,0.004598,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 400, 100, 100, 1)",sigmoid,SGD,100.0,400.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.596012,0.585804,0.017126,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(400, 100, 100, 100, 1)",sigmoid,SGD,400.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.538719,0.542954,0.007861,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 500, 1)",sigmoid,SGD,100.0,100.0,100.0,500.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.586842,0.6046819999999999,0.0304009999999999,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 500, 100, 1)",sigmoid,SGD,100.0,100.0,500.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.594784,0.617715,0.038553,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 500, 100, 100, 1)",sigmoid,SGD,100.0,500.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.594331,0.604543,0.017182,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(500, 100, 100, 100, 1)",sigmoid,SGD,500.0,100.0,100.0,100.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.587649,0.570214,0.029668,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 100, 600, 1)",sigmoid,SGD,100.0,100.0,100.0,600.0,4.0
'deep learning keras','xij6-lab1-dt',25.479839278000004,0.593863,0.592621,0.002091,0.008,0.008,268,0.0005,0.4,30,relu,relu,17,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 100, 600, 100, 1)",sigmoid,SGD,100.0,100.0,600.0,100.0,4.0
