ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.711679,0.717581,0.008293,0.008,0.008,1,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.69301,0.699456,0.009301,0.008,0.008,6,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.686539,0.688963,0.00353,0.008,0.008,11,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.677851,0.680046,0.003238,0.008,0.008,16,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.683311,0.687855,0.006651,0.008,0.008,21,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.670592,0.674033,0.005131,0.008,0.008,26,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.668973,0.674624,0.008447,0.008,0.008,31,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.68229,0.680506,0.002614,0.008,0.008,36,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.665484,0.669018,0.005311,0.008,0.008,41,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.660446,0.666822,0.009654,0.008,0.008,46,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.675966,0.677651,0.002492,0.008,0.008,51,0.0005,0.4,30,relu,relu,4,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
