ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.421258,0.420441,0.001937,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.001,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.500448,0.504478,0.008054,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.002,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.564815,0.567442,0.004651,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.003,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.603251,0.613445,0.016899,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.004,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.616845,0.628758,0.019312,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.005,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.654428,0.668828,0.022005,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.006,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.65952,0.675634,0.024433,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.007,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.672256,0.686001,0.020446,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.008,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.67994,0.695851,0.0234,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.009,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.689933,0.708275,0.026585,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.01,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.688921,0.706882,0.02607,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.011,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.696714,0.712315,0.022392,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.012,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.696226,0.71406,0.025615,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.013,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.698926,0.718717,0.028316,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.014,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.700359,0.719951,0.027974,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.015,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.709433,0.728043,0.026232,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.016,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.706166,0.725729,0.027704,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.017,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.710566,0.728976,0.025909,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.018,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.711124,0.730011,0.026559,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.019,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.70821,0.728063,0.028031,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.02,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.715233,0.734135,0.026428,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.021,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.708217,0.732236,0.033915,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.022,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.719585,0.738727,0.026602,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.023,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.708351,0.733061,0.034883,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.024,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.715844,0.738602,0.031792,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.025,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.718145,0.740139,0.030626,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.026,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.715965,0.741104,0.035111,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.027,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.719733,0.742108,0.031088,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.028,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
'deep learning keras',0.717138,0.736893,0.027547,0.02,0.02,134,0.001,0.5,20,relu,relu,20,glorot_normal,0.029,binary_crossentropy,2,0.9,"(800, 400, 200, 75, 1)",sigmoid,Adagrad,800.0,400.0,200.0,75.0,4.0
