ml_classifier_name,mean_test_auc,mean_train_auc,percent_auc_diff,L1,L2,batch_size,dec,drate,epochs,hacti,iacti,idim,kinit,lrate,ls,ltype,momen,mstruct,oacti,opti,1,2,3,4,layer_number
'deep learning keras',0.453447,0.450418,0.00668,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.001,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.508461,0.495901,0.024703,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.002,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.524971,0.533227,0.015728,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.003,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.585112,0.587981,0.004903,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.004,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.590444,0.610368,0.033743,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.005,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.599817,0.625395,0.042644,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.006,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.631581,0.646732,0.02399,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.007,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.611427,0.631655,0.033084,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.008,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.641572,0.652012,0.016272,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.009,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.634567,0.659225,0.038858,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.01,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
'deep learning keras',0.649319,0.665156,0.024391,0.008,0.008,268,0.0005,0.4,30,relu,relu,20,he_normal,0.011,binary_crossentropy,2,0.4,"(100, 300, 500, 1)",sigmoid,SGD,100.0,300.0,500.0,0.0,3.0
