fpr,tpr,thresholds
0.0,0.0,1.997624
0.0,0.00819672131147541,0.99762404
0.0,0.21311475409836064,0.9793184
0.034482758620689655,0.21311475409836064,0.97819865
0.034482758620689655,0.3360655737704918,0.96933496
0.06896551724137931,0.3360655737704918,0.968873
0.06896551724137931,0.5,0.9457417
0.10344827586206896,0.5,0.94375116
0.10344827586206896,0.5327868852459017,0.93877184
0.13793103448275862,0.5327868852459017,0.9384273
0.13793103448275862,0.680327868852459,0.8770597
0.1724137931034483,0.680327868852459,0.8722929
0.1724137931034483,0.7131147540983607,0.8632878
0.20689655172413793,0.7131147540983607,0.8577992
0.20689655172413793,0.7295081967213115,0.8425954
0.2413793103448276,0.7295081967213115,0.8396926
0.2413793103448276,0.7459016393442623,0.82581615
0.27586206896551724,0.7459016393442623,0.8214369
0.27586206896551724,0.7868852459016393,0.78890014
0.3448275862068966,0.7868852459016393,0.7790754
0.3448275862068966,0.8032786885245902,0.75278616
0.3793103448275862,0.8032786885245902,0.74625474
0.3793103448275862,0.819672131147541,0.7421018
0.41379310344827586,0.819672131147541,0.7315911
0.41379310344827586,0.8524590163934426,0.71251017
0.4827586206896552,0.8524590163934426,0.69849414
0.4827586206896552,0.9098360655737705,0.6761795
0.5172413793103449,0.9098360655737705,0.6678749
0.5172413793103449,0.9426229508196722,0.60740316
0.5517241379310345,0.9426229508196722,0.59940743
0.5517241379310345,0.9508196721311475,0.5890626
0.5862068965517241,0.9508196721311475,0.5780437
0.5862068965517241,0.9754098360655737,0.5192789
0.6206896551724138,0.9754098360655737,0.47840628
0.6206896551724138,0.9836065573770492,0.4313076
0.8620689655172413,0.9836065573770492,0.2846949
0.8620689655172413,0.9918032786885246,0.2776168
0.9655172413793104,0.9918032786885246,0.1957188
0.9655172413793104,1.0,0.18552044
1.0,1.0,0.09697467
